time,coin,dir,px,sz,ntl,fee,closedPnl
18/07/2024 - 22:48:18,WLD,Open Short,2.66616995,149985.3,399886.299801735,119.965859,-119.965859
19/07/2024 - 04:56:08,BTC,Open Long,64089.87028889,3.15,201883.0914100035,60.564917,-60.564917
19/07/2024 - 05:03:19,kPEPE,Open Long,0.01169132,1711010,20003.9654332,6.001184,-6.001184
19/07/2024 - 06:38:26,WLD,Close Short,2.55,843.5,2150.9249999999997,0.107546,104.663589
19/07/2024 - 06:38:27,WLD,Close Short,2.55,1806.2,4605.8099999999995,0.230289,224.117813
19/07/2024 - 06:38:27,WLD,Close Short,2.55,13.6,34.68,0.001734,1.6875220000000002
19/07/2024 - 07:40:47,BTC,Open Long,63911.19688693,3.28615,210021.77964998505,63.006522,-63.006522
19/07/2024 - 07:44:47,ETH,Open Long,3419.984684,60,205199.08104,61.55971,-61.55971
19/07/2024 - 07:48:43,WLD,Close Short,2.59710589,33124.6,86028.093763894,25.808414,2528.2344519999997
19/07/2024 - 07:50:04,WLD,Open Short,2.59419266,69342.7,179888.323364582,53.966481,-53.966481
19/07/2024 - 08:34:16,WLD,Close Short,2.59797754,80829.2,209992.44617616798,62.99772,4330.268246
19/07/2024 - 08:34:16,WLD,Close Short,2.6003,5061.4,13161.158419999998,0.658057,262.68658500000004
19/07/2024 - 08:34:16,WLD,Close Short,2.6003,329.7,857.31891,0.042865,17.111426
19/07/2024 - 08:34:16,WLD,Close Short,2.6003,369,959.5106999999999,0.047975,19.151094999999998
19/07/2024 - 08:34:16,WLD,Close Short,2.6003,195,507.0585,0.025352,10.120498
19/07/2024 - 08:34:17,WLD,Close Short,2.6003,230,598.069,0.029902,11.936998
19/07/2024 - 08:34:17,WLD,Close Short,2.6003,6956.8,18089.76704,0.904485,361.057819
19/07/2024 - 08:34:17,WLD,Close Short,2.6003,18118.8,47114.31563999999,2.355712,940.365452
19/07/2024 - 08:34:17,WLD,Close Short,2.6003,3980.1,10349.454029999999,0.517472,206.567131
19/07/2024 - 08:34:18,WLD,Close Short,2.6003,15693.7,40808.32811,2.040416,814.502795
19/07/2024 - 08:34:18,WLD,Close Short,2.6003,864.2,2247.17926,0.112358,44.851968
19/07/2024 - 08:34:18,WLD,Close Short,2.6003,17283.5,44942.28505,2.247113,897.013392
19/07/2024 - 08:34:18,WLD,Close Short,2.6003,35,91.0105,0.00455,1.8165
19/07/2024 - 08:34:19,WLD,Close Short,2.6003,11041.4,28710.952419999998,1.435547,573.048495
19/07/2024 - 08:34:20,WLD,Close Short,2.6003,1082.7,2815.34481,0.140767,56.192114000000004
19/07/2024 - 08:34:20,WLD,Close Short,2.6003,351.5,914.00545,0.0457,18.242845
19/07/2024 - 08:34:20,WLD,Close Short,2.6003,7384.7,19202.43541,0.960121,383.26581999999996
19/07/2024 - 08:34:21,WLD,Close Short,2.6003,7384.7,19202.43541,0.960121,383.26581999999996
19/07/2024 - 08:34:23,WLD,Close Short,2.6003,188.2,489.37645999999995,0.024468,9.767577999999999
19/07/2024 - 08:34:25,WLD,Close Short,2.6003,18094.5,47051.12835,2.352556,939.1042789999999
19/07/2024 - 08:34:26,WLD,Close Short,2.6003,2286.1,5944.545829999999,0.297227,118.648556
19/07/2024 - 08:35:20,WLD,Close Short,2.6003,790.6,2055.79718,0.102789,41.032129
19/07/2024 - 08:35:20,WLD,Close Short,2.6003,560.9,1458.5082699999998,0.072924,29.110703
19/07/2024 - 08:35:20,WLD,Close Short,2.6003,584.2,1519.09526,0.075953,30.319973
19/07/2024 - 08:35:20,WLD,Close Short,2.6003,10697.3,27816.189189999997,1.390809,555.18971
19/07/2024 - 08:35:20,WLD,Close Short,2.6003,10697.3,27816.189189999997,1.390809,555.18971
19/07/2024 - 08:35:21,WLD,Close Short,2.6003,9254.2,24063.69626,1.203183,480.29284299999995
19/07/2024 - 08:35:21,WLD,Close Short,2.6003,576.9,1500.1130699999999,0.075005,29.941102
19/07/2024 - 08:35:21,WLD,Close Short,2.6003,181.8,472.73454,0.023636,9.435418
19/07/2024 - 08:35:22,WLD,Close Short,2.6003,603.4,1569.02102,0.078451,31.316450999999997
19/07/2024 - 08:35:22,WLD,Close Short,2.6003,3483.6,9058.405079999999,0.45292,180.798788
19/07/2024 - 08:35:22,WLD,Close Short,2.6003,1304.3,3391.57129,0.169578,67.693151
19/07/2024 - 08:35:22,WLD,Close Short,2.6003,80,208.024,0.010401,4.151999
19/07/2024 - 08:35:23,WLD,Close Short,2.6003,1596,4150.078799999999,0.207503,82.832377
19/07/2024 - 08:35:24,WLD,Close Short,2.6003,15456.3,40191.01689,2.00955,802.181739
19/07/2024 - 08:35:47,WLD,Close Short,2.5959,0.1,0.25959,0.000077,0.005566
19/07/2024 - 08:53:42,kPEPE,Open Long,0.01158493,4314808,49986.74864344,14.996023,-14.996023
19/07/2024 - 09:49:38,kPEPE,Open Long,0.01163909,3762655,43793.88018395,13.138159,-13.138159
19/07/2024 - 09:51:20,WLD,Open Short,2.6198,3054.1,8001.13118,0.400056,-0.400056
19/07/2024 - 09:51:20,WLD,Open Short,2.6198,1036.2,2714.6367600000003,0.135731,-0.135731
19/07/2024 - 09:51:20,WLD,Open Short,2.6198,351.5,920.8597000000001,0.046042,-0.046042
19/07/2024 - 09:51:21,WLD,Open Short,2.6198,2000,5239.6,0.26198,-0.26198
19/07/2024 - 09:51:21,WLD,Open Short,2.6198,2499.9,6549.238020000001,0.327461,-0.327461
19/07/2024 - 09:51:21,WLD,Open Short,2.6198,4250.3,11134.935940000001,0.556746,-0.556746
19/07/2024 - 09:51:21,WLD,Open Short,2.6198,604.1,1582.62118,0.079131,-0.079131
19/07/2024 - 09:51:21,WLD,Open Short,2.6198,19856.9,52021.106620000006,2.601054,-2.601054
19/07/2024 - 09:51:22,WLD,Open Short,2.6198,351.5,920.8597000000001,0.046042,-0.046042
19/07/2024 - 09:51:22,WLD,Open Short,2.6198,35,91.693,0.004584,-0.004584
19/07/2024 - 09:51:22,WLD,Open Short,2.6198,16657.9,43640.366420000006,2.182016,-2.182016
19/07/2024 - 09:51:22,WLD,Open Short,2.6198,2499.9,6549.238020000001,0.327461,-0.327461
19/07/2024 - 09:51:22,WLD,Open Short,2.6198,205.3,537.8449400000001,0.026892,-0.026892
19/07/2024 - 09:51:22,WLD,Open Short,2.6198,367.4,962.51452,0.048125,-0.048125
19/07/2024 - 09:51:23,WLD,Open Short,2.6198,351.5,920.8597000000001,0.046042,-0.046042
19/07/2024 - 09:51:23,WLD,Open Short,2.6198,3986,10442.5228,0.522125,-0.522125
19/07/2024 - 09:51:23,WLD,Open Short,2.6198,903.9,2368.03722,0.118401,-0.118401
19/07/2024 - 09:51:23,WLD,Open Short,2.6198,2499.9,6549.238020000001,0.327461,-0.327461
19/07/2024 - 09:51:24,WLD,Open Short,2.6198,1104,2892.2592,0.144612,-0.144612
